fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productrefundamount,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,itemquantity,itemrevenue,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,ts_timeonsite
5.685480355522461e+18,Organic Search,118548,Singapore,"",,,119,6,,2016-09-25,1474855556,PAGE,,,23,,GGOEGAAX0127,Android 24 oz Contigo Bottle,Home/Drinkware/,(not set),USD,,,,,Drinkware,,/google+redesign/,0,1,,1969-12-31 19:01:59
6.074059506813294e+17,Organic Search,0,Bangladesh,"",,,18,2,,2017-03-01,1488380003,PAGE,,,24,,GGOEGAAX0331,Google Men's Long Sleeve Raglan Ocean Blue,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:18
9.225099779526138e+16,Organic Search,72212,Taiwan,"",,,107,6,,2016-11-12,1479023078,PAGE,,,4,,GGOEGBJC019999,Collapsible Shopping Bag,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:47
2.5074227351154944e+18,Direct,279112,Taiwan,"",,,410,7,,2017-03-04,1488687927,PAGE,,,104,,GGOEGAAX0586,Google Women's Yoga Jacket Black,Home/Apparel/Women's/Women's-Performance Wear/,(not set),USD,,,,,Women's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:06:50
7.595138756207662e+18,Direct,99048,Palestine,"",,,140,6,,2017-04-17,1492435741,PAGE,,,99,,GGOEGBRB013899,Google Laptop Backpack,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:20
6.772985146639653e+18,Organic Search,20051,Greece,"",,,20,2,,2016-09-03,1472924708,PAGE,,,21,,GGOEYHPA003510,YouTube Trucker Hat,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube,,/google+redesign/,0,1,,1969-12-31 19:00:20
7.469746420174745e+18,Direct,49512,Indonesia,"",,,125,4,,2017-04-23,1492959760,PAGE,,,18,,GGOEGAAX0321,Google Men's Short Sleeve Hero Tee Light Blue,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:05
7.136417305573578e+18,Direct,165252,Taiwan,"",,,165,3,,2017-04-14,1492221914,PAGE,,,4,,GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,Home/Office/,(not set),USD,,,,,Office | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:45
2.4005712254803057e+18,Referral,93614,United States,"",,,94,3,,2016-10-22,1477125369,PAGE,,,12,,GGOEADHB014799,Android Glass Water Bottle with Black Sleeve,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:34
3.571387330667448e+15,Organic Search,0,Singapore,"",,,,1,,2016-09-15,1473925376,PAGE,,,16,,GGOEGAAX0671,Google Toddler Short Sleeve Tee White,Home/Apparel/Kid's/Kid's-Toddler/,(not set),USD,,,,,Kid's-Toddler,,/google+redesign/,0,1,,
7.087058714565325e+18,Referral,60167,Taiwan,"",,,165,9,,2017-04-04,1491310273,PAGE,,,2,,GGOEGFKQ020799,Google Doodle Decal,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:45
8.551649148351543e+18,Referral,10905,Bangladesh,"",,,933,5,,2016-11-12,1478967502,PAGE,,,4,,GGOEGBFC018799,Electronics Accessory Pouch,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:15:33
7.666716515887945e+18,Organic Search,0,India,"",,,134,5,,2016-10-31,1477906271,PAGE,,,18,,GGOEGAAX0325,YouTube Men's Short Sleeve Hero Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:14
9.945824322928222e+18,Organic Search,0,India,"",,,,1,,2017-04-28,1493415757,PAGE,,,1,,GGOEYFKQ020699,YouTube Custom Decals,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,
9.745924027985023e+18,Direct,191393,Taiwan,"",,,191,6,,2017-03-13,1489390306,PAGE,,,1,,GGOEYFKQ020699,YouTube Custom Decals,Home/Accessories/,(not set),USD,,,,,Accessories | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:11
4.662219827289039e+18,Organic Search,69866,Taiwan,"",,,217,10,,2017-06-16,1497681190,PAGE,,,13,,GGOEGBCR024399,Google Lunch Bag,Home/Accessories/Housewares/,(not set),USD,,,,,Housewares | Accessories | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:37
2.202081724235215e+18,Direct,1316875,Taiwan,"",,,1424,15,,2017-03-21,1490111213,PAGE,,,24,,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:23:44
7.561608790950274e+18,Organic Search,51722,Hong Kong,"",,,222,7,,2016-12-04,1480890959,PAGE,,,92,,GGOEGAAX0566,Google Men's Weatherblock Shell Jacket Black,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:42
4.4491812218271324e+18,Organic Search,0,Puerto Rico,"",,,286,6,,2016-08-17,1471482803,PAGE,,,18,,GGOEGAAX0324,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,,1969-12-31 19:04:46
